,url,brand,model,version,year,km,price
113,/clasificados/usados/ford/windstar/sel/17692795,Ford,Windstar,SEL,2003,143000 km,68000
114,/clasificados/usados/ford/windstar/sel/17692363,Ford,Windstar,SEL,2003,146000 km,68000
115,/clasificados/usados/chrysler/ram/van-1500-aut/17691537,Chrysler,Ram,Van 1.500 Aut,2003,21500 km,68000
116,/clasificados/usados/jeep/liberty/limited-4x4/17732336,Jeep,Liberty,Limited 4X4,2003,151536 km,70000
117,/clasificados/usados/jeep/liberty/limited-4x4/17703049,Jeep,Liberty,Limited 4X4,2003,30000 km,70000
118,/clasificados/usados/land-rover/freelander/25l-s-qc/17696747,Land Rover,Freelander,2.5L S Qc,2002,108000 km,70000
119,/clasificados/usados/ford/f-150/cabina-y-media-4x2-v8/17744147,Ford,F-150,Cabina y Media 4x2 V8,2002,130 km,71000
120,/clasificados/usados/jeep/grand-cherokee/limited-4x4-47l-v8/17707113,Jeep,Grand Cherokee,Limited 4X4 4.7L V8,2003,165000 km,73000
121,/clasificados/usados/jeep/liberty/sport-4x2/17721490,Jeep,Liberty,Sport 4X2,2002,110000 km,74500
122,/clasificados/usados/jaguar/x-type/25l-v6-aut/17760191,Jaguar,X-type,2.5L V6 Aut,2002,150000 km,74900
123,/clasificados/usados/ford/explorer/xlt-4x2-40l-v6/17821939,Ford,Explorer,XLT 4x2 4.0L ,2002,150000 km,75000
124,/clasificados/usados/honda/accord/coupe-30l-v6-aut/17726176,Honda,Accord,Coupé 3.0L V6 Aut,2003,120000 km,75000
125,/clasificados/usados/dodge/durango/52l-slt-4x2-plus/17707167,Dodge,Durango,5.2L SLT 4x2 Plus,2002,17000 km,75000
126,/clasificados/usados/infiniti/i/35-luxury/17691101,Infiniti,I,35 Luxury,2003,105000 km,75000
127,/clasificados/usados/jeep/liberty/sport-4x4/17840031,Jeep,Liberty,Sport 4X4,2002,162000 km,76000
128,/clasificados/usados/toyota/camry/le-24l/17833797,Toyota,Camry,LE 2.4L,2002,177000 km,77000
129,/clasificados/usados/audi/a4/20l-t-elite-tiptronic-quattro-(200hp)/17635678,Audi,A4,2.0L T Elite Tiptronic Quattro (200hp) ,2002,109139 km,77500
130,/clasificados/usados/mitsubishi/eclipse/gt-convertible-aut/17779554,Mitsubishi,Eclipse,GT Convertible Aut,2003,122000 km,78000
131,/clasificados/usados/jeep/cherokee/limited/17696652,Jeep,Cherokee,Limited,2003,168000 km,78000
132,/clasificados/usados/volkswagen/jetta/20/17814378,Volkswagen,Jetta,2.0,2002,110000 km,80000
133,/clasificados/usados/volkswagen/jetta/sportline-18-t/17710224,Volkswagen,Jetta,Sportline 1.8 T,2003,200000 km,80000
134,/clasificados/usados/ford/expedition/eddie-bauer-4x2/17856482,Ford,Expedition,Eddie Bauer 4x2,2003,109293 km,82000
135,/clasificados/usados/volkswagen/sedan/unificado/17721487,Volkswagen,Sedán,Unificado,2002,121000 km,82000
136,/clasificados/usados/nissan/x-trail/le-25l-comfort/17691499,Nissan,X-Trail,LE 2.5L Comfort,2003,200000 km,84500
137,/clasificados/usados/ford/expedition/eddie-bauer-4x2/17865398,Ford,Expedition,Eddie Bauer 4x2,2003,180000 km,85000
138,/clasificados/usados/mercedes-benz/clase-e/320-elegance-v6/17694585,Mercedes Benz,Clase E,320 Elegance V6,2002,140 km,85000
139,/clasificados/usados/honda/cr-v/ex/17701288,Honda,CR-V,EX,2003,160000 km,88000
140,/clasificados/usados/chevrolet/avalanche/4x2-lt-a-(320-hp)/17706122,Chevrolet,Avalanche,4x2 LT A (320 Hp),2003,10000 km,95000
141,/clasificados/usados/bmw/serie-3/330ia-formula-1/17700735,BMW,Serie 3,330iA Fórmula 1,2002,145000 km,95000
142,/clasificados/usados/mercedes-benz/clase-m/ml-350-lujo/17705361,Mercedes Benz,Clase M,ML 350 Lujo,2003,113500 km,105000
143,/clasificados/usados/mini/cooper/pepper/17859423,MINI,Cooper,Pepper,2002,110000 km,108000
144,/clasificados/usados/ford/windstar/4p-se-tela/17877848,Ford,Windstar,4p SE tela,2003,61734 km,110000
145,/clasificados/usados/mercedes-benz/clase-c/240-elegance-aut/17877288,Mercedes Benz,Clase C,240 Elegance Aut,2002,122000 km,115000
146,/clasificados/usados/infiniti/q/45-premium/17868286,Infiniti,Q,45 Premium ,2002,101000 km,120000
147,/clasificados/usados/ford/ranger/limited/17819195,Ford,Ranger,Limited,2003,100000 km,130000
148,/clasificados/usados/ford/lobo/xlt-4x2-sup-cab-46l/17691577,Ford,Lobo,XLT 4x2 Sup Cab 4.6L,2003,28000 km,140000
149,/clasificados/usados/bmw/serie-3/325cia-cabriolet-hard-top-formula-1/17698932,BMW,Serie 3,325CiA Cabriolet Hard Top Fórmula 1,2003,156000 km,142988
150,/clasificados/usados/nissan/350-z/coupe-aut/17877992,Nissan,350 Z,Coupé Aut,2003,64000 km,164000
151,/clasificados/usados/ford/f-350/xl-54l-super-duty/17708161,Ford,F-350,XL 5.4L Super Duty ,2003,400000 km,169000
152,/clasificados/usados/nissan/xterra/se-33l-4x2/17823856,Nissan,XTerra,SE 3.3L 4x2,2003,170000 km,175000
153,/clasificados/usados/jaguar/s-type/42l-v8-r/17693726,Jaguar,S-type,4.2L V8 R,2003,50000 km,185000
154,/clasificados/usados/ford/f-450/ktp-xl-68l-aut/17694532,Ford,F-450,KTP XL 6.8L Aut,2003,10000 km,195000
155,/clasificados/usados/chrysler/town-and-country/limited-38l/17856250,Chrysler,Town and Country,Limited 3.8L ,2002,100000 km,200000
156,/clasificados/usados/hummer/h2/suv/17688294,Hummer,H2,SUV,2003,100000 km,300000
157,/clasificados/usados/mitsubishi/montero-sport/35l/17863942,Mitsubishi,Montero Sport,3.5L,2002,25000 km,650000
158,/clasificados/usados/nissan/tsuru/gs-i-austero/17880450,Nissan,Tsuru,GS I Austero,2005,145000 km,32000
159,/clasificados/usados/volkswagen/pointer/5p/17845242,Volkswagen,Pointer,5P,2004,131200 km,34000
160,/clasificados/usados/nissan/platina/q-16l-ac/17790313,Nissan,Platina,Q 1.6L Ac,2005,100000 km,35000
161,/clasificados/usados/dodge/atos/11l-basico/17699164,Dodge,Atos,1.1L Básico,2005,90000 km,35000
162,/clasificados/usados/peugeot/206/cc/17695989,Peugeot,206,CC,2004,224000 km,35000
163,/clasificados/usados/nissan/platina/k-16l-plus-aut/17849942,Nissan,Platina,K 1.6L Plus Aut,2005,140000 km,36000
164,/clasificados/usados/volkswagen/pointer/city-5p-dh-ac/17740139,Volkswagen,Pointer,City 5P Dh Ac,2005,160000 km,36000
