,url,brand,model,version,year,km,price
108,/clasificados/usados/mini/cooper-s/s/17860277,mini,cooper s,s,2002,130000,65000
109,/clasificados/usados/jeep/liberty/sport-4x2/17818794,jeep,liberty,sport 4x2,2003,97000,65000
110,/clasificados/usados/volkswagen/pointer/mi-3p/17804044,volkswagen,pointer,mi 3p,2003,117000,65000
111,/clasificados/usados/chevrolet/trail-blazer/4x4-ltz-c/17692831,chevrolet,trail blazer,4x4 ltz c,2003,92000,67000
112,/clasificados/usados/volkswagen/jetta/comfortline-20-aut/17863929,volkswagen,jetta,comfortline 2.0 aut,2003,76000,68000
113,/clasificados/usados/ford/windstar/sel/17692795,ford,windstar,sel,2003,143000,68000
114,/clasificados/usados/ford/windstar/sel/17692363,ford,windstar,sel,2003,146000,68000
115,/clasificados/usados/chrysler/ram/van-1500-aut/17691537,chrysler,ram,van 1.500 aut,2003,21500,68000
116,/clasificados/usados/jeep/liberty/limited-4x4/17732336,jeep,liberty,limited 4x4,2003,151536,70000
117,/clasificados/usados/jeep/liberty/limited-4x4/17703049,jeep,liberty,limited 4x4,2003,30000,70000
118,/clasificados/usados/land-rover/freelander/25l-s-qc/17696747,land rover,freelander,2.5l s qc,2002,108000,70000
119,/clasificados/usados/ford/f-150/cabina-y-media-4x2-v8/17744147,ford,f-150,cabina y media 4x2 v8,2002,130,71000
120,/clasificados/usados/jeep/grand-cherokee/limited-4x4-47l-v8/17707113,jeep,grand cherokee,limited 4x4 4.7l v8,2003,165000,73000
121,/clasificados/usados/jeep/liberty/sport-4x2/17721490,jeep,liberty,sport 4x2,2002,110000,74500
122,/clasificados/usados/jaguar/x-type/25l-v6-aut/17760191,jaguar,x-type,2.5l v6 aut,2002,150000,74900
123,/clasificados/usados/ford/explorer/xlt-4x2-40l-v6/17821939,ford,explorer,xlt 4x2 4.0l,2002,150000,75000
124,/clasificados/usados/honda/accord/coupe-30l-v6-aut/17726176,honda,accord,coupe 3.0l v6 aut,2003,120000,75000
125,/clasificados/usados/dodge/durango/52l-slt-4x2-plus/17707167,dodge,durango,5.2l slt 4x2 plus,2002,17000,75000
126,/clasificados/usados/infiniti/i/35-luxury/17691101,infiniti,i,35 luxury,2003,105000,75000
127,/clasificados/usados/jeep/liberty/sport-4x4/17840031,jeep,liberty,sport 4x4,2002,162000,76000
128,/clasificados/usados/toyota/camry/le-24l/17833797,toyota,camry,le 2.4l,2002,177000,77000
129,/clasificados/usados/audi/a4/20l-t-elite-tiptronic-quattro-(200hp)/17635678,audi,a4,2.0l t elite tiptronic quattro (200hp),2002,109139,77500
130,/clasificados/usados/mitsubishi/eclipse/gt-convertible-aut/17779554,mitsubishi,eclipse,gt convertible aut,2003,122000,78000
131,/clasificados/usados/jeep/cherokee/limited/17696652,jeep,cherokee,limited,2003,168000,78000
132,/clasificados/usados/volkswagen/jetta/20/17814378,volkswagen,jetta,2.0,2002,110000,80000
133,/clasificados/usados/volkswagen/jetta/sportline-18-t/17710224,volkswagen,jetta,sportline 1.8 t,2003,200000,80000
134,/clasificados/usados/ford/expedition/eddie-bauer-4x2/17856482,ford,expedition,eddie bauer 4x2,2003,109293,82000
135,/clasificados/usados/volkswagen/sedan/unificado/17721487,volkswagen,sedan,unificado,2002,121000,82000
136,/clasificados/usados/nissan/x-trail/le-25l-comfort/17691499,nissan,x-trail,le 2.5l comfort,2003,200000,84500
137,/clasificados/usados/ford/expedition/eddie-bauer-4x2/17865398,ford,expedition,eddie bauer 4x2,2003,180000,85000
138,/clasificados/usados/mercedes-benz/clase-e/320-elegance-v6/17694585,mercedes benz,clase e,320 elegance v6,2002,140,85000
139,/clasificados/usados/honda/cr-v/ex/17701288,honda,cr-v,ex,2003,160000,88000
140,/clasificados/usados/chevrolet/avalanche/4x2-lt-a-(320-hp)/17706122,chevrolet,avalanche,4x2 lt a (320 hp),2003,10000,95000
141,/clasificados/usados/bmw/serie-3/330ia-formula-1/17700735,bmw,serie 3,330ia formula 1,2002,145000,95000
142,/clasificados/usados/mercedes-benz/clase-m/ml-350-lujo/17705361,mercedes benz,clase m,ml 350 lujo,2003,113500,105000
143,/clasificados/usados/mini/cooper/pepper/17859423,mini,cooper,pepper,2002,110000,108000
144,/clasificados/usados/ford/windstar/4p-se-tela/17877848,ford,windstar,4p se tela,2003,61734,110000
145,/clasificados/usados/mercedes-benz/clase-c/240-elegance-aut/17877288,mercedes benz,clase c,240 elegance aut,2002,122000,115000
146,/clasificados/usados/infiniti/q/45-premium/17868286,infiniti,q,45 premium,2002,101000,120000
147,/clasificados/usados/ford/ranger/limited/17819195,ford,ranger,limited,2003,100000,130000
148,/clasificados/usados/ford/lobo/xlt-4x2-sup-cab-46l/17691577,ford,lobo,xlt 4x2 sup cab 4.6l,2003,28000,140000
149,/clasificados/usados/bmw/serie-3/325cia-cabriolet-hard-top-formula-1/17698932,bmw,serie 3,325cia cabriolet hard top formula 1,2003,156000,142988
150,/clasificados/usados/nissan/350-z/coupe-aut/17877992,nissan,350 z,coupe aut,2003,64000,164000
151,/clasificados/usados/ford/f-350/xl-54l-super-duty/17708161,ford,f-350,xl 5.4l super duty,2003,400000,169000
152,/clasificados/usados/nissan/xterra/se-33l-4x2/17823856,nissan,xterra,se 3.3l 4x2,2003,170000,175000
153,/clasificados/usados/jaguar/s-type/42l-v8-r/17693726,jaguar,s-type,4.2l v8 r,2003,50000,185000
154,/clasificados/usados/ford/f-450/ktp-xl-68l-aut/17694532,ford,f-450,ktp xl 6.8l aut,2003,10000,195000
155,/clasificados/usados/chrysler/town-and-country/limited-38l/17856250,chrysler,town and country,limited 3.8l,2002,100000,200000
156,/clasificados/usados/hummer/h2/suv/17688294,hummer,h2,suv,2003,100000,300000
157,/clasificados/usados/mitsubishi/montero-sport/35l/17863942,mitsubishi,montero sport,3.5l,2002,25000,650000
158,/clasificados/usados/nissan/tsuru/gs-i-austero/17880450,nissan,tsuru,gs i austero,2005,145000,32000
159,/clasificados/usados/volkswagen/pointer/5p/17845242,volkswagen,pointer,5p,2004,131200,34000
160,/clasificados/usados/nissan/platina/q-16l-ac/17790313,nissan,platina,q 1.6l ac,2005,100000,35000
161,/clasificados/usados/dodge/atos/11l-basico/17699164,dodge,atos,1.1l basico,2005,90000,35000
162,/clasificados/usados/peugeot/206/cc/17695989,peugeot,206,cc,2004,224000,35000
163,/clasificados/usados/nissan/platina/k-16l-plus-aut/17849942,nissan,platina,k 1.6l plus aut,2005,140000,36000
164,/clasificados/usados/volkswagen/pointer/city-5p-dh-ac/17740139,volkswagen,pointer,city 5p dh ac,2005,160000,36000
